Program: Program Name,Partner Status,Program Description,Program Duration,Service Type,Where does your program take place?,Primary Service Area,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Account Name
Learning from the Masters,Active,"The purpose of Learning from the Masters (LFM)  is to complement, support and extend student learning in schools with existing dance programs. Each series includes six hours of on-site, professional dance classes for students in 3rd - 12th grade. Classes are available in a variety of dance disciplines including classical ballet, modern dance, jazz dance, hip-hop and Latin dance.

This will take place on Key (if dance teacher is available) and Kashmere High. Looking into for Cook as well.

LFM is designed for 1 group of students for all six hours. Classes are for a minimum of 10 and a maximum of 25 students. Block schedule can be accommodated.

If your school does not have an on-site dance teacher, please CLICK HERE to be redirected to our Dance to Learn program.

 

Locations wishing to book ECE's programs will need to complete an Indemnification Form with their principal's, or authoritative power's, signature prior to submitting a request. Each location needs only to complete 1 form per school year which will cover all of ECE's programs. Please CLICK HERE to download the 2017-18 Indemnification Form.",,,,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
Chance to Dance,Active,"Chance to Dance is a series of 8 classical ballet classes for first and second graders held at Houston Ballet Center for Dance. Students learn the fundamentals of ballet and dance to live musical accompaniment. Classes are free of charge, and Houston Ballet provides bus transportation. 

All students actively participate regardless of physical ability or previous dance experience. Academy artistic staff, however, will evaluate promising students for enrollment in our year-round program on scholarship.

Schools are selected each spring for the following academic year. Priority is given to schools that haven't participated in the program for at least three years, and that have 75% or more of their students qualify as economically disadvantaged.

For more information, please contact Lauren Anderson, Education & Community Engagement Program Manager at Landerson@houstonballet.org.",,Referral out - Deliver services off-site,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
Studio Series (Livestream),Active,"Interactive, educational performances by Houston Ballet Academy's Professional Program at the Houston Ballet Center for Dance that can be LIVE STREAMED from any classroom",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
"X³: Explore, Extend, Excel!",Active,"X³: Explore, Extend, Excel! is a FREE program for 3rd-5th graders. Two Houston Ballet teaching artists and a musician will travel to your campus to work with your students for a series of classes that culminates in a themed performance for the school community, family & friends. Programs are available during the school day or after school.

This will be on Kashmere Garden's campus for Fall 2017

For more information, please contact Lauren Anderson, Education & Community Engagement Program Manager at Landerson@houstonballet.org.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",601 Preston,Houston,,77002,Houston Ballet
"Nutrition Classes for Parents, Kids, and Staff",Active,"Give out food samples, hands on cooking, nutrition knowledge, given a bag of groceries at the end of the program sessions, and teach cooking skills. All programming is available in English or Spanish, they travel to your campus and bring ALL Supplies.",Either/Flexible,Pull out - Deliver services by pulling out students from class,,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",,,,,Houston Food Bank
Backpack Buddies,Active,"Food distribution for campuses to distribute fresh fruits, vegetables, and proteins to families every Friday. Includes granola bars and individually packed goods.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",,,,,Houston Food Bank
Food Pantry Support,Active,"Food distribution for campuses to distribute fresh fruits, vegetables, and proteins to families. Includes granola bars and individually packed goods.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",,,,,Houston Food Bank
School Market Leadership Program Mobile Truck OR Brick and Mortar,Active,"Since students run this program, this is only available to middle and high schools. Need buy-in from the principals. Team of students (~15) are in charge of unloading truck of food that comes in twice a month, distribute food, and track the parents who are receiving the food. This team of students are leaders who are building their own leadership and organization skills. Essentially a student-run mobile food pantry. This program is BOTH a food distribution service, but mostly, you'd record this as a leadership, service program through the Houston Food Bank for student leaders. The students are then delivering the food to their peers in the school. Log the food distribution through this leadership opportunity as a RESOURCE.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",,,,,Houston Food Bank
iChoose...,Active,Our Program is an Abstinence Plus Program. We use a state board approved curriculum to help young people make healthy and informed decisions about sex. The program is designed to vigorously and effectively encourage young people to postpone sexual involvement and also to provide the guidance and information young people need to reduce the risk when they do become sexually active.,Other (Please specify in Description),,On School Campus,"Health (Medical, Dental, Vision, Nutrition)",8000 N Stadium Dr,Houston,,77054,Houston Health Department Family Planning Team
Teach literacy,Active,Let's get crafty with your friends! Geared for tweens ages 9-12. Please contact your local library for further details,Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)",611 S Sgt Macario Garcia Dr,Houston,,77011,Houston Public Library
Restorative Justice Circles,Active,RJ CIrcles by Gender and Grade Level,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",6856 Bellaire Blvd.,Houston,,77074,Houston reVision
Mentoring,Active,Mentoring for LEAD students,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",6856 Bellaire Blvd.,Houston,,77074,Houston reVision
YMCA Achievers,Active,"YMCA Achievers is a college readiness and career exploration program designed to help underserved, first general college bound and minority teens to achieve higher education through experiences, exposure and empowerment.",45-60 minutes (Period Schedule),,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)",5202 Griggs Rd,Houston,,77021,Houston Texans YMCA
Tutoring,Active,"iEducate recruits & assigns college students from universities for focused math & science intervention inside elementary school classrooms. These college students work alongside teachers during regular class hours, thereby bringing down the student-teacher ratio. Teachers use data to determine the students? needs and then have the college student tutors remediate instruction, allowing the elementary school students to learn at their own pace and receive the needed intervention. In addition, the tutors promote a college-bound environment by applying the learning to their own majors and career goals.

Has a cost to schools so still figuring out if principals want to take it on.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)",4903 Mayfair st.,Bellaire,,77401,iEducate
Workshops,Active,"Every year we conduct science and math workshops as a partnership with NASA and Schlumberger. The purpose of these workshops is to captivate students with experiments in the:
earth sciences
life sciences
physical sciences
In addition to the this hands-on experience, the workshops involve industry professionals including engineers, scientists and doctors. Our goal is to open students? eyes to various careers, and inspire them at an early age to pursue such opportunities.

Not pursuing these at the moment but open if you see principals requesting.",,,,"Education and vocational (Vocational training, employment services, college and career readiness)",4903 Mayfair st.,Bellaire,,77401,iEducate
Volunteer Tutors,Active,"These are individuals who are here to give academic support to students in the form of math, science, reading, writing, social studies, support. They may dip into general mentoring but their primary goals are academic.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,Independent Volunteers
Volunteer Mentors,Active,"These individuals are here to work with students and come just to serve voluntarily. Mentoring capacity for this particular program. This is NOT in the form of academic tutoring or mental counseling, etc.",Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,Independent Volunteers
Classroom teaching and group teaching and discussions,Active,Will have both in classroom lectures/discussions as  invited by health teachers and meetings with focused  groups to help address their questions/concerns,Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Health (Medical, Dental, Vision, Nutrition)",510 S Third,Bellaire,Texas,77401,Individual Jack A Pollard MD
Marshall Mentorship Program,Active,"A mentorship program offered to lower socio-economic students at Marshall M.S.  The program offers positive role models, guidance and helps promote personal development, compensates for lack of role models and empowers youth.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","1001 Louisiana Street, Suite 1000",Houston,,77002,"Kinder Morgan, Inc."
Parent English Classes,Active,Parent English classes. Tag students whose parents are involved in this to track the supports to this student's family.,Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,,,,,,La Placita
1-on-1 Tutoring,Active,"Learn To Be brings free, 1-on-1, online tutoring to underserved youth around the nation. All of the tutoring is done in our online classroom with volunteer tutors comprised of brilliant high school students, college students and young professionals.",Either/Flexible,,Off School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","1268 N. Lakeview Ave., Suite 201",Anaheim,,92807,Learn To Be Foundation
Group Counseling,Active,Students peer counsel each other and work together as a group towards goals.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,,,,,,Legacy Community Health
Individual Counseling,Active,Individual students get mental health counseling with an on site professional.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,,,,,,Legacy Community Health
Off Site Individual Counseling,Active,Individual students get mental health counseling with an on site professional. This program is OFF a school campus.,45-60 minutes (Period Schedule),Referral out - Deliver services off-site,Off School Campus,,,,,,Legacy Community Health
Lemonade Day,Active,Teachers children how to own and operate their own business.,70-90 minutes (Block Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)",N/A,Houston,,77033,Lemonade Day
Leadership Lunch,Active,Curriculum varies.  This is a program designed to develop leadership skills with mentoring.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Social and recreational (Physical activity based clubs, after-school clubs and sports)",12407 new Hampton,Tomball,,77377,Lighthouse for Students
Legal Services,Active,"Primary focus is on free legal assistance and helping families enroll in CHIP and Medicaid.

Eligibility is based off of income. As long as on Free and Reduced Lunch, they will qualify.

Other legal services include:

FAMILY LAW
?	Divorce/Annulment
?	Custody/Visitation
?	Child and Spousal Support
?	Family violence
?	Child Abuse
?	Guardianship (adult and child)
?	Name Change
?	Paternity
?	Parental Rights Termination Defense
?	Adoption
?	Emancipation
WELFARE AND INCOME ASSISTANCE
?	Temporary Assistance to Needy Families (TANF)
?	Food Stamps
?	Supplemental Security Income (SSI)
?	Social Security 
?	Disability
?	County Welfare
?	Unemployment Insurance
?	Veterans' Benefits
?	Workers' Compensation
?	Discrimination in government programs based on race, religion, national origin, sex, pregnancy, age, disability, sexual orientation or family size
PUBLIC EDUCATION
?	Discrimination based on race, religion, national origin, sex, pregnancy, age, disability, sexual orientation or family size
?	Enforcement of Americans with Disabilities Act, Individuals with Disabilities in Education Act and Section 504 of the Rehabilitation Act against public schools on behalf of children with disabilities
?	Truancy, discipline, expulsion and suspension issues related to the above
?	Bilingual education program issues
?	Civil rights in education
HOUSING
?	Public and Subsidized Housing issues
?	Foreclosure defense
?	Eviction defense
?	Utility shutoffs
?	Code enforcement
?	Property tax issues on home
?	Discrimination based on race, religion, national origin, sex, pregnancy, age, disability, sexual orientation or family size
?	Contract for Deed abuses
?	Landlord breach of duty to repair
?	Title issues on mobile homes
?	Predatory lending issues
?	Title issues on homestead
HEALTH CARE
?	Medicaid
?	Medicare
?	Nursing home problems
?	County indigent health care
?	Denial of emergency room care
?	Access to Care
?	Private insurance issues
CONSUMER
?	Fraud or deceptive trade practices
?	Warranties or breaches of contract 
?	Debt collection abuses
?	Unlawful repossessions
?	Rent-to-own abuses 
?	Bankruptcy
?	Predatory Lending
?	Public utility access
?	Student financial aid program abuses and collection defense 
LOW INCOME TAXPAYER CLINIC
?	Federal tax audits
?	Tax Court
?	Earning Income Tax Credit Disallowance
?	IRS Collection Alternatives
?	Innocent Spouse Claims
?	IRS Garnishment of wages or Social Security Benefits.
?	Other disputes with the Internal Revenue Service
MISCELLANEOUS
?	Incorporation of nonprofit orgs
?	License suspension/revocation 
?	Wills and estates
?	End-of-life planning documents
?	Civil rights abuses
?	Certain immigration issues
?	Human trafficking
NEIGHBORHOOD PROBLEMS
?	Municipal services 
?	Public utilities 
?	Environmental problems
?	Code enforcement 
EMPLOYMENT
?	Work place safety issues 
?	Wage claims 
?	Unlawful termination
?	WARN Act claims
?	Discrimination based on race, religion, national origin, sex, pregnancy, age, disability, sexual orientation or family size
?	Fair Labor Standards Act rights enforcement
JUVENILE ISSUES
?	Delinquency
?	Neglect or abuse of children",,,,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",1415 Fannin  Street,Houston,TX,77002,Lone Star Legal
GAP,Active,"The Gap Program provides services to grandparents and other relatives who care for children in the absence of parents. We support families by providing in-home assessments, case management services and support groups for caregivers. The Gap Program builds on the family?s strengths and works with all family members to find solutions to the challenges of raising children in today?s complex world.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)","5005 Mitchelldale, Ste# 119",Houston,,77095,MCH Family Outreach
Family Solutions,Active,"In-Home Services is an early intervention program designed to strengthen families through case management and community partnerships. Services include individualized assessment, parenting support, and referrals or assistance to help meet basic needs and promote child safety and family stability.

Our staff members partner with families to help support their efforts to overcome their individual and family challenges through a supportive, professional relationship, assessment, service planning and regular face-to-face contact.",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)","5005 Mitchelldale, Ste# 119",Houston,,77095,MCH Family Outreach
Spiritual Mentor,Active,Spiritual mentor comes to campus and performs prayer services and spiritual support to students.,Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",5922 Hillcroft Street,Houston,TX,77036,Mercy Community Center
Mufasa's Pride I,Active,"Mufasa's Pride is to encourage, empower, embrace and educate young urban males and to help raise the level of expectation that they have for themselves.   We believe that we must raise our level of expectation in our youth, so that they will be afforded the opportunity to rise above erroneous perceptions that contribute to their demise and limitations. We will accomplish this through a curriculum centered around 7 subject areas that are designed instill core values in these young men.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",8506 Hidden Hollow Ct.,Missouri City,,77459,Mufasa's Pride Rites of Passage
My Brother's Keeper- Team UP Houston,Active,"MBK Houston?s ?Team Up for Houston?s Youth? campaign aims to engage the Houston sports community in the MBK Houston
movement by providing career exploration opportunities and enrichment activities that incentivize learning and leadership.",Either/Flexible,Referral out - Deliver services off-site,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",8000 N. Stadium Street,Houston,,77054,My Brothers Keeper
Circle of Men,Active,Mentoring for at risk boys. Social skills curriculum.,Either/Flexible,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",8000 N. Stadium Street,Houston,,77054,My Brothers Keeper
MBK - Literacy Night,Active,"MBK staff come to campus and host a Literacy Night once a month. They give away free books, read to the students, and engage parents on how important reading is to their children.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",8000 N. Stadium Street,Houston,,77054,My Brothers Keeper
Donut Devotion,Active,Create a lasting and supportive relationship with a caring adult (HISD VIPS)!; Unlock students potential & get help with goal-setting! Be connected to resources and events! Increase students motivation and confidence!,Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Cultural and spiritual (Art access, Cultural awareness and enrichment)",4315 West Fuqua Street,Houston,,77045,New Faith Church
Dynamic Mindfulness Sessions,Active,"The in-class Dynamic Mindfulness facilitator will lead students through a 15 minute breath, movement, and centering practice focused on the four Dynamic mindfulness competencies - stress resilience, self-awareness, emotion regulation, and healthy relationships.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Teacher Support & Professional Development,"111 Fairmount Ave.
(main office is in CA, regional PM in Houston)",Oakland,,94611,Niroga Institute
Northeast Next Door Development Council,Active,"Disaster Case Management, Community Organization. Provide appliance (stoves, laundry, fridges), grocery support, rent assistance, bedding (mattresses, sheets, etc)",Other (Please specify in Description),Referral out - Deliver services off-site,Off School Campus,Community Development,4625 FM2920 #121,"Spring, TX",,77388,Northeast Next Door Redevelopment Council
PAIR - After School,Active,"Global Leaders for High School Students

In our Global Leaders programs, mentors assist high school students after school which is designed to promote English language acquisition, build social and emotional skills, and understand and complete school work.

Activities in Global Leaders are also designed for students to explore opportunities for their future and develop the leadership and life skills necessary to attain higher education and employment. Global Leaders programming takes place after-school and involves group mentoring.
Global Scholars for Juniors and Senior Students
The Global Scholars program enhances PAIR?s existing after-school support for resettled refugee youth in their pursuit of high school graduation, career exploration, and post-secondary education. In this community-based program, adult volunteers are paired with students in 11th or 12th grade of high school. Each mentor commits to supporting and guiding a young refugee for a period of at least one year to help the student develop and reach his or her personal, academic, and career potential.

Students in the Global Scholars program receive case management services from PAIR staff and focus on activities that include researching careers, applying for college, writing personal statements, completing financial aid and scholarship applications, and transitioning to college life.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,PAIR - Partnership for the Advancement & Immersion of Refugees
Parents Alliance Educational Program,Active,"It is a hands on earning experience in Spanish specifically designed for Hispanic families. It teaches Digital Learning and Financial Literacy which are skills to pursue and Continue their education online, and to help their children succeed academically. A two-hour instruction provided twice a week  during 9 weeks by a Facilitator at a computer room in a participating school, following SyT Program curriculum. Classes are held twice a week for Two hours at schedules jointly determined by the school and the parents.
We have included homework that parents must do together with their children using their Newly acquired skills. This two generation approach provides a framework for looking at problems and creating
More sustainable solutions that recognize that what is good for the child is good for the family And vice versa.",Other (Please specify in Description),Pull out - Deliver services by pulling out students from class,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","15810 Park Ten Place Suite 105
Houston, Texas 77084",Houston,,77084,Parents Alliance Inc.
Botvin LifeSkills,Active,"Botvin LifeSkills Training (LST) is a research-validated substance abuse prevention program proven to reduce the risks of alcohol, tobacco, drug abuse, and violence by targeting the major social and psychological factors that promote the initiation of substance use and other risky behaviors. This comprehensive and exciting program provides adolescents and young teens with the confidence and skills necessary to successfully handle challenging situations.",45-60 minutes (Period Schedule),,On School Campus,Community Development,501 Garden Oaks Blvd.,Houston,,77018,Phoenix House
Positive Action,Active,"Positive Action is an evidence based prevention program that focuses on the intuitive philosophy that we feel good about ourselves when we do positive actions. When this cycle is positive, students want to learn. When this cycle is negative, students do not want to learn. The essence of the program is to emphasize those actions that promote a healthy and positive cycle. The Positive Action approach helps individuals become aware of the negative consequences of using substances.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,Community Development,501 Garden Oaks Blvd.,Houston,,77018,Phoenix House
Project Towards No Drugs,Active,"Project Towards No Drugs is an evidence based substance abuse prevention program. Project TND focuses on three factors that predict tobacco, alcohol, and other drug use, violence-related behaviors, and other problem behaviors among youth, including motivation factors, communication skills, and decision-making skills.",45-60 minutes (Period Schedule),,On School Campus,Community Development,501 Garden Oaks Blvd.,Houston,,77018,Phoenix House
Get Real High School,Active,"A one year high school curriculum emphasizes Social and Emotional Learning skills. It promotes abstinence from sex as the healthiest choice for adolescents; provides a comprehensive understanding of sexual health, sexuality and protection methods.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4600 Gulf Freeway,Houston,,77023,Planned Parenthood
Sisters Saving Sisters,Active,"Sisters saving Sisters is a skills-based, risk reduction intervention.  It brings to focus the disparity of HIV/STIs rates among Latina and African American female adolescent populations.",Either/Flexible,Referral out - Deliver services off-site,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4600 Gulf Freeway,Houston,,77023,Planned Parenthood
Teen Reach,Active,"TeenREACH is a diverse group of high school teens between the ages of 13 to 19 from the greater Houston area committed to the health issues of their peers. This program is a youth initiative to develop leadership and life skills in young people to impact their health and the health of others.  The group meets once a month for two hours with a minimum of 50 hours of peer education and advocacy training to prepare them to share information with peers, parents, legislators, community organizations, and the general public.",Other (Please specify in Description),Referral out - Deliver services off-site,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",4600 Gulf Freeway,Houston,,77023,Planned Parenthood
Cafe College,Active,"Will only serve as an off-site referral program. Students will have to find transportation to the cafe to reap the benefits.

Cafécollege serves as a college access hub where students and families can gather relevant information to guide their college planning. cafécollege trained staff work with middle school through college students and families offering one-on-one coaching, workshops, community outreach, and regular drop-in hours. Cafécollege Houston encourages and reinforces a college going mentality at the community level.",,,,"Education and vocational (Vocational training, employment services, college and career readiness)",3000 Richmond Ave. #400,Houston,,77098,Project GRAD Houston
College Institute Summer Programs,Active,"Off site program over the summer. Project GRAD will pick up students at a central location like Cafe College.

Every summer, Project GRAD serves approximately 1,000 GRAD Scholars in our award-winning College Institutes. Each College Institute is based on its own unique theme focused on high-demand careers in the Houston area. During the multi-day program, students tour the college campus, receive information about college applications and financial aid, participate in personal interest inventories linked to career options, and experience college classroom instruction related to certificates and degrees needed for high-demand careers. As a result, students better understand potential education pathways ? and the choices they have in order to access the future they hope to create for themselves. If you attend every day of an Institute you will be entered to win a $500 scholarship.",,,,"Education and vocational (Vocational training, employment services, college and career readiness)",3000 Richmond Ave. #400,Houston,,77098,Project GRAD Houston
Counseling,Active,"Pull outs to work with students on mental health counseling.

We provide therapeutic services in an integrated manner to children whose psychiatric, behavioral and learning problems are identified by a parent/guardian or school personnel. Our Talk Therapy Program will allow them to be educated effectively in their local school systems.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)","3007 Caroline St., Houston,",Houston,TX,77004,Psych on Site
Re-Creating ME! Program,Active,"I.	Re-defining ME (Out with the old, in with the new)

We believe that in order to redefine yourself in a positive, healthy, and productive way you must first ?un-do yourself.? You must ?un-do?, aggressively dismantle, and challenge all the negative and false images, concepts and beliefs of yourself.
Root Causes

Personal

?	Fear, resentment, anger (Identifying root causes of ?anger? in youth) ?	False beliefs and definitions of one?s self (Gangstas, niggas, gang members, etc)
Family

?	Anger at parents ?	Absence of parents (Mother and/or Father) ?	Lack of stability (drugs in the home; physical abuse, etc.) ?	Lack of support, understanding, etc. Explaining the impact of the mother and father on influencing child?s identity and sense of self.
Community Conditions

?	Environment ?	Poverty ?	Perceived lack of opportunity
(Role Models vs Rogue Models)

Explaining the negative vs positive images of sports figures, entertainers, movies, drug dealers, etc. on influencing personal identity in youth.
(Self-Image vs Social Image)

Impact of social media in peer pressure, bullying, and violence in defining who we are.
(Community Education vs. Classroom Education)

Explaining the impact of community miseducation, i.e., what is learned outside of school (values, beliefs, etc.) impacting kid?s ability to learn in school. The roles of classroom and community in educating youth and shaping their image of themselves and the world (both positive and negative). The criminalization of kids as early as elementary ? introduction to police, suspension, truancy courts, alternative schools, CPS as a form of discipline and intimidation in school
II.	Re-Building ME (You)

Manhood training (What it is and what it is not)

?	Self-respect ?	Responsibility ?	Building character ?	Fatherhood ?	Respect for women ?	Respect for authority
Womanhood training

?	Self-respect ?	Responsibility ?	Building character ?	Motherhood
III.	Being Me (You)rself

New image of Yourself (Your own role model)

?	Learning to believe in Self ?	Learning to follow yourself ?	Learning to love yourself
Core Curriculum

?	Life Skills ?	Anger Management ?	Leadership Development ?	Career assessment and support ?	Job Placement ?	Basic financial literacy ?	Goal Setting ?	Developing Healthy Habits ?	Computer Literacy & Basic Coding ?	Social Media (Being Responsible) ?	Bystander Community CPR ?	Hip Hop Therapy",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",,,,,Re-Creating Me!
Interns,Active,Relay will provide interns who will be managed by the ProLinks and there is a stipend associated with it. The interns will be tutoring students.,,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Education and vocational (Vocational training, employment services, college and career readiness)","6700 Bellaire Blvd., Room 204",Houston,TX,77074,Relay Graduate School
Support Group,Active,"Depression and Bipolar Support Alliance Greater Houston provides free and confidential support groups for individuals living with, or family and friends affected by, depression and bipolar disorders. Our support groups help anyone who is trying to understand these two difficult mental disorders so they can better assist their loved ones on their path to wellness.

Depression and Bipolar Support Alliance Greater Houston support groups are facilitated by trained facilitators who are professionally supervised. There is no fee or registration required, just show up. All groups are 1.5 hours unless otherwise noted.
13 years and older are eligible.

Support Group is not therapy. More intensive mental health services need to be referred to another service provider. Suggestion: Depelchin or The Harris Center.",,Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",PO Box 27607,Houston,TX,77227,ReMind - Depression and Bipolar Support Alliance Greater Houston
Survey,Active,"Administer health survey. To gauge students? physical, mental health. Questions ask about students? home life, experience with bullying, drugs, feelings about the adults in their lives, and academic life. Survey is worded very harshly and asks very personal questions. Anticipate students feeling uncomfortable filling it out.",,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,Research & Evaluation,,,,,Rice Baker Institute for Public Policy
Youth Prevention Services -,Active,"Santa Maria offers a prevention program open to the community, local schools, and community agencies.

Through a program called CBSG, Kids/Youth Connection, Santa Maria provides a 10 week course to area youth that focuses on social emotional learning, self esteem, good choices, and anti drugs use.",45-60 minutes (Period Schedule),Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",2605 Parker Rd.,Houston,,77093,Santa Maria Hostel
Caring for Two/Prenatal and Postpartum Intervention Program,Active,Outreach and intervention services provided for pregnant and postpartum women to increase knowledge and adoption of healthy behaviors and parenting skills to improve birth outcomes.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",2605 Parker Rd.,Houston,,77093,Santa Maria Hostel
The Elite Mind Literacy Course,Active,"Students are taught educational tools to promote literacy and learning.  They ""read, write and recite"" something they have learned during our sessions.  They are involved in role playing, physical activity and meditation.",45-60 minutes (Period Schedule),,Off School Campus,"Legal safety/crisis support (Juvenile justice support, homelessness, child abuse, substance abuse, and domestic violence prevention and support, excluding immigration support)",9403 Sandra Street,Houston,,77016,Save Our Kids of America
Journey of Hope,Active,Psycho-educational groups addressing stressors and coping skills.,45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",2928 greens rd,"Houston, tx",,77032,Save The Children
Sparkle Girl Club,Active,"Sparkle Girl Club purpose is to help girls with self-development and to become poised, polished and polite young ladies in life. The girls are taught Etiquette, Manners and Social skills, which are essential for every child?s self-confidence and success in life. Every girl wants to look and feel beautiful. Girls discover beauty is not just something you ?paint on? but something that is developed from within. Competence in appearance and etiquette translates into strong confidence in life. Knowing how to present one?s self at school, a party, an important event, or a business setting is vital in today?s world. Our traveling Etiquette Classes are fun and innovative and we are equipping young ladies with the necessary tools needed to be successful in life.",45-60 minutes (Period Schedule),Pull out - Deliver services by pulling out students from class,On School Campus,Community Development,"955 Westcott, #138",Houston,,77007,Sparkle Girl Club
Homeless Support,Active,"Support given to families including:

Career Development Curriculum
Personal Development Curriculum
Spiritual Life Program
Workforce Development
Computer Learning Centers
Counseling
Emergency Walk-in Center
Health Clinics
New Hope Substance Abuse Recovery
On-Site Day Care
Parenting Classes
Partnerships with Other Agencies
New Journey Classes (Transition-Age Youth Initiative)
Preventative Services
Alumni Network",Either/Flexible,Referral out - Deliver services off-site,Off School Campus,"Home and family (Food, clothing, parent engagement, foster care, transportation and housing support)",2575 Reed Road,Houston,,77051,Star of Hope
Mentorship,Active,"We have a detailed 16 week curriculum that is aimed to teach discipline, confidence and respect.",Either/Flexible,Push-In - Deliver services into the classroom usually partnering with teachers,On School Campus,"Emotional and psychological (Youth mentoring, psychological counseling & behavioral health)",15335 East Fondren Cir.,Houston,,77071,Substitute Fathers
